modality,level,metric,enhanced_change,no_noise_change,difference,ci95_low,ci95_high
table,2.0,roc_auc,-0.10939691444600275,-0.11804581580177653,0.008648901355773786,-0.02150537634408589,0.042075736325385416
table,2.0,accuracy,-0.07843137254901966,-0.07843137254901966,0.0,-0.03921568627450989,0.03529411764705903
table,2.0,sensitivity,-0.010752688172043001,-0.02150537634408589,0.01075268817204289,-0.016129032258064502,0.037634408602150615
table,2.0,specificity,-0.26086956521739135,-0.23188405797101447,-0.028985507246376885,-0.15942028985507262,0.08695652173913043
table,2.0,balanced_accuracy,-0.13581112669471707,-0.1266947171575502,-0.009116409537166859,-0.07889200561009813,0.050724637681159424
table,2.0,f1,-0.04567884559104929,-0.04615275436491151,0.0004739087738622194,-0.024078708369553777,0.02336785387083951
table,2.0,brier,0.0502847885549285,0.04752765077971502,0.0027571377752134835,-0.007114560220513131,0.011869545925906676
table,2.0,log_loss,0.14482671020800852,0.13191673452566072,0.012909975682347807,-0.016511442861336195,0.03988998280680703
us,0.0,roc_auc,0.0,0.0,0.0,0.0,0.0
us,0.0,accuracy,0.0,0.0,0.0,0.0,0.0
us,0.0,sensitivity,0.0,0.0,0.0,0.0,0.0
us,0.0,specificity,0.0,0.0,0.0,0.0,0.0
us,0.0,balanced_accuracy,0.0,0.0,0.0,0.0,0.0
us,0.0,f1,0.0,0.0,0.0,0.0,0.0
us,0.0,brier,0.0,0.0,0.0,0.0,0.0
us,0.0,log_loss,0.0,0.0,0.0,0.0,0.0
us,0.25,roc_auc,0.0009350163627863672,0.010752688172043001,-0.009817671809256634,-0.03576437587657777,0.015194015895278246
us,0.25,accuracy,-0.0039215686274509665,-0.0235294117647058,0.019607843137254832,-0.0470588235294116,0.0862745098039216
us,0.25,sensitivity,-0.005376344086021501,-0.09677419354838701,0.09139784946236551,0.032258064516129004,0.16666666666666674
us,0.25,specificity,0.0,0.17391304347826086,-0.17391304347826086,-0.34782608695652173,-0.04347826086956519
us,0.25,balanced_accuracy,-0.0026881720430106393,0.03856942496493687,-0.04125759700794751,-0.12798036465638152,0.03740065451145391
us,0.25,f1,-0.0028225004969191225,-0.025992050974701808,0.023169550477782686,-0.0210843403924896,0.07443296166813
us,0.25,brier,-0.00024315703053248705,0.0013732731360409506,-0.0016164301665734376,-0.01528433626290171,0.01139866803319609
us,0.25,log_loss,-0.0027139541510277643,-0.007540820152211636,0.0048268660011838715,-0.03027648319915196,0.042715220915141176
us,0.5,roc_auc,-0.002337540906965807,0.011220196353436185,-0.013557737260401992,-0.0374006545114538,0.008415147265077194
us,0.5,accuracy,-0.03137254901960773,-0.007843137254901933,-0.0235294117647058,-0.0862745098039216,0.03921568627450989
us,0.5,sensitivity,-0.043010752688172116,-0.09139784946236551,0.048387096774193394,-0.005376344086021612,0.11290322580645162
us,0.5,specificity,0.0,0.21739130434782616,-0.21739130434782616,-0.391304347826087,-0.0434782608695653
us,0.5,balanced_accuracy,-0.021505376344086002,0.0629967274427301,-0.08450210378681611,-0.17928938756428225,-0.002921926133707231
us,0.5,f1,-0.02289079850595599,-0.015707386144582447,-0.007183412361373542,-0.049200154778822995,0.03847649187822569
us,0.5,brier,0.001431129624023142,0.0015339238600130395,-0.00010279423598989756,-0.011643866625883572,0.010961578794574949
us,0.5,log_loss,0.002118112862445898,-0.005927845852924218,0.008045958715370116,-0.022385451590993997,0.04147681991771211
us,1.0,roc_auc,0.0018700327255727345,-0.36524076671341743,0.36711079943899017,0.22662166900420755,0.5093560074801308
us,1.0,accuracy,-0.0470588235294116,-0.17647058823529427,0.12941176470588267,0.0039215686274510775,0.2470588235294119
us,1.0,sensitivity,-0.08064516129032262,-0.13978494623655924,0.05913978494623662,-0.08064516129032284,0.19354838709677424
us,1.0,specificity,0.04347826086956519,-0.2753623188405797,0.3188405797101449,0.05797101449275366,0.5652173913043479
us,1.0,balanced_accuracy,-0.01858345021037877,-0.2075736325385693,0.18899018232819054,0.04347241701729779,0.3307620383356706
us,1.0,f1,-0.03672456575682381,-0.11877736120294125,0.08205279544611743,-0.008436243590088809,0.16994513812704934
us,1.0,brier,0.0023451634709260594,0.13308581820967014,-0.13074065473874408,-0.189402774705218,-0.0733984857465049
us,1.0,log_loss,0.005122528948967808,3.845155081360996,-3.840032552412028,-5.817904625702088,-2.11000053197603
us,2.0,roc_auc,0.0021037868162693263,-0.34712482468443195,0.3492286115007013,0.2166900420757364,0.47720897615708274
us,2.0,accuracy,-0.0470588235294116,-0.09411764705882364,0.04705882352941204,-0.04705882352941182,0.12941176470588245
us,2.0,sensitivity,-0.08064516129032262,0.06451612903225812,-0.14516129032258074,-0.25806451612903214,-0.048387096774193505
us,2.0,specificity,0.04347826086956519,-0.5217391304347826,0.5652173913043478,0.34782608695652173,0.7391304347826088
us,2.0,balanced_accuracy,-0.01858345021037877,-0.22861150070126224,0.21002805049088347,0.09710729312762974,0.31872370266479666
us,2.0,f1,-0.03672456575682381,-0.04195876824012046,0.005234202483296646,-0.06337209041000348,0.06441359113409195
