modality,level,metric,enhanced_change,no_noise_change,difference,ci95_low,ci95_high
table,2.0,roc_auc,-0.10939691444600275,-0.11687704534829357,0.007480130902290827,-0.01823281907433394,0.03295932678821878
table,2.0,accuracy,-0.07843137254901966,-0.054901960784313864,-0.0235294117647058,-0.06274509803921569,0.0117647058823529
table,2.0,sensitivity,-0.010752688172043001,0.005376344086021501,-0.016129032258064502,-0.043010752688172116,0.010752688172043001
table,2.0,specificity,-0.26086956521739135,-0.21739130434782605,-0.0434782608695653,-0.17391304347826086,0.05797101449275366
table,2.0,balanced_accuracy,-0.13581112669471707,-0.10600748013090233,-0.029803646563814734,-0.09502103786816274,0.02360916316035533
table,2.0,f1,-0.04567884559104929,-0.029809592950036712,-0.015869252641012577,-0.04045903661447203,0.00570890276664224
table,2.0,brier,0.0502847885549285,0.04313452439321318,0.007150264161715325,-0.0010859682099189302,0.014727369874824224
table,2.0,log_loss,0.14482671020800852,0.1358848630663857,0.008941847141622827,-0.022439692406231962,0.03632795199028611
us,0.0,roc_auc,0.0,0.0,0.0,0.0,0.0
us,0.0,accuracy,0.0,0.0,0.0,0.0,0.0
us,0.0,sensitivity,0.0,0.0,0.0,0.0,0.0
us,0.0,specificity,0.0,0.0,0.0,0.0,0.0
us,0.0,balanced_accuracy,0.0,0.0,0.0,0.0,0.0
us,0.0,f1,0.0,0.0,0.0,0.0,0.0
us,0.0,brier,0.0,0.0,0.0,0.0,0.0
us,0.0,log_loss,0.0,0.0,0.0,0.0,0.0
us,0.25,roc_auc,0.0009350163627863672,0.00911640953716697,-0.008181393174380602,-0.03833567087424017,0.020336605890603043
us,0.25,accuracy,-0.0039215686274509665,-0.031372549019607954,0.027450980392156987,-0.03137254901960784,0.09019607843137256
us,0.25,sensitivity,-0.005376344086021501,-0.09139784946236551,0.08602150537634401,0.026881720430107503,0.15591397849462385
us,0.25,specificity,0.0,0.13043478260869568,-0.13043478260869568,-0.26086956521739135,0.0
us,0.25,balanced_accuracy,-0.0026881720430106393,0.019518466573165028,-0.022206638616175667,-0.10109864422627401,0.048153342683496914
us,0.25,f1,-0.0028225004969191225,-0.02992729964841878,0.02710479915149966,-0.013401385620501352,0.07529863294683217
us,0.25,brier,-0.00024315703053248705,0.0014436509234828504,-0.0016868079540153375,-0.017100480744953805,0.012815600094039009
us,0.25,log_loss,-0.0027139541510277643,0.006674838751873191,-0.009388792902900955,-0.04591732936500274,0.025793213070630656
us,0.5,roc_auc,-0.002337540906965807,0.00911640953716697,-0.011453950444132777,-0.040439457690509384,0.01309022907900892
us,0.5,accuracy,-0.03137254901960773,-0.0117647058823529,-0.019607843137254832,-0.07058823529411773,0.03529411764705859
us,0.5,sensitivity,-0.043010752688172116,-0.08064516129032251,0.03763440860215039,0.0,0.08602150537634423
us,0.5,specificity,0.0,0.17391304347826086,-0.17391304347826086,-0.34782608695652173,-0.04347826086956519
us,0.5,balanced_accuracy,-0.021505376344086002,0.04663394109396923,-0.06813931743805524,-0.15241351098644249,0.005142589995324798
us,0.5,f1,-0.02289079850595599,-0.016643724189713494,-0.006247074316242496,-0.040858939102513106,0.031415707996704345
us,0.5,brier,0.001431129624023142,0.002514367300509482,-0.00108323767648634,-0.01498047772680343,0.01201556610080269
us,0.5,log_loss,0.002118112862445898,0.009960816647711257,-0.00784270378526536,-0.041009254474757714,0.023824229032547477
us,1.0,roc_auc,0.0018700327255727345,-0.3812529219261337,0.3831229546517064,0.2536202664796636,0.5102910238429169
us,1.0,accuracy,-0.0470588235294116,-0.09411764705882364,0.04705882352941204,-0.04705882352941182,0.12941176470588245
us,1.0,sensitivity,-0.08064516129032262,0.06451612903225812,-0.14516129032258074,-0.25806451612903214,-0.048387096774193505
us,1.0,specificity,0.04347826086956519,-0.5217391304347826,0.5652173913043478,0.34782608695652173,0.7391304347826088
us,1.0,balanced_accuracy,-0.01858345021037877,-0.22861150070126224,0.21002805049088347,0.09710729312762974,0.31872370266479666
us,1.0,f1,-0.03672456575682381,-0.04195876824012046,0.005234202483296646,-0.06337209041000348,0.06441359113409195
us,1.0,brier,0.0023451634709260594,0.1182522024959596,-0.11590703902503353,-0.1600061742717757,-0.07107012050787312
us,1.0,log_loss,0.005122528948967808,5.400229459914559,-5.395106930965591,-7.3634875623187215,-3.398397686350078
us,2.0,roc_auc,0.0021037868162693263,-0.34712482468443195,0.3492286115007013,0.2208888499298737,0.4723001402524543
us,2.0,accuracy,-0.0470588235294116,-0.09411764705882364,0.04705882352941204,-0.04705882352941182,0.12941176470588245
us,2.0,sensitivity,-0.08064516129032262,0.06451612903225812,-0.14516129032258074,-0.25806451612903214,-0.048387096774193505
us,2.0,specificity,0.04347826086956519,-0.5217391304347826,0.5652173913043478,0.34782608695652173,0.7391304347826088
us,2.0,balanced_accuracy,-0.01858345021037877,-0.22861150070126224,0.21002805049088347,0.09710729312762974,0.31872370266479666
us,2.0,f1,-0.03672456575682381,-0.04195876824012046,0.005234202483296646,-0.06337209041000348,0.06441359113409195
us,2.0,brier,0.0022693828665968085,0.11301620208643785,-0.11074681921984104,-0.15430707123723825,-0.065816100622688
