seed,modality,fold,label,target,n,pearson,spearman
42,table,4,-1,offset,17,-0.3634573755303844,-0.3823529411764707
42,table,4,-1,abs_gap,17,0.9707592511433556,0.9730392156862747
42,table,4,0,loss,5,-0.4434799936820064,-0.8999999999999998
42,table,4,0,offset,5,0.6752362062185249,0.8999999999999998
42,table,4,0,abs_gap,5,0.9952075764788441,0.8999999999999998
42,table,4,1,loss,12,-0.5634393688927382,-0.9510489510489512
42,table,4,1,offset,12,-0.642216087465437,-0.6223776223776225
42,table,4,1,abs_gap,12,0.9822665485011356,0.9580419580419581
42,us,-1,-1,loss,85,0.0547922428397912,-0.46140316591752983
42,us,-1,-1,offset,85,0.9395145749428033,0.8985147547391049
42,us,-1,-1,abs_gap,85,0.9706350983788721,0.9087746726597615
42,us,-1,0,loss,23,0.937170211881368,0.8754940711462451
42,us,-1,0,offset,23,0.9332715814967002,0.900197628458498
42,us,-1,0,abs_gap,23,0.9443361840509699,0.8804347826086957
42,us,-1,1,loss,62,-0.43389469466002895,-0.8960993175694392
42,us,-1,1,offset,62,0.9435644321644661,0.9046611770038527
42,us,-1,1,abs_gap,62,0.9751701041825643,0.9091939261161894
42,us,0,-1,loss,17,-0.04399542027601268,-0.5637254901960785
42,us,0,-1,offset,17,0.9401553099123952,0.8970588235294119
42,us,0,-1,abs_gap,17,0.9693476843982356,0.9705882352941178
42,us,0,0,loss,4,0.9999163726240551,1.0
42,us,0,0,offset,4,0.9203301726061788,1.0
42,us,0,0,abs_gap,4,0.9947598737292265,1.0
42,us,0,1,loss,13,-0.8663350334009188,-0.967032967032967
42,us,0,1,offset,13,0.9501428067984561,0.901098901098901
42,us,0,1,abs_gap,13,0.9776365667597761,0.967032967032967
42,us,1,-1,loss,17,-0.2461364872198663,-0.6176470588235294
42,us,1,-1,offset,17,0.9230954800048364,0.9019607843137255
42,us,1,-1,abs_gap,17,0.9785694827916069,0.9877450980392157
42,us,1,0,loss,4,0.9914041342272156,1.0
42,us,1,0,offset,4,0.9832872897216033,0.7999999999999999
42,us,1,0,abs_gap,4,0.9867350742217589,1.0
42,us,1,1,loss,13,-0.7206769855088067,-0.9780219780219779
42,us,1,1,offset,13,0.9170262750882916,0.9065934065934067
42,us,1,1,abs_gap,13,0.979285854374117,0.9780219780219779
42,us,2,-1,loss,17,-0.2274919607465503,-0.7426470588235294
42,us,2,-1,offset,17,0.9531739319969816,0.9779411764705883
42,us,2,-1,abs_gap,17,0.9875597045006821,0.9975490196078433
42,us,2,0,loss,5,0.9983647646467257,0.9999999999999999
42,us,2,0,offset,5,0.9935598102682275,0.9999999999999999
42,us,2,0,abs_gap,5,0.9923618134211082,0.9999999999999999
42,us,2,1,loss,12,-0.6147472529540245,-0.9930069930069931
42,us,2,1,offset,12,0.951505485245384,0.965034965034965
42,us,2,1,abs_gap,12,0.9925294070116951,0.9930069930069931
42,us,3,-1,loss,17,0.13894336315115297,-0.38970588235294124
42,us,3,-1,offset,17,0.9705506527473173,0.9877450980392157
42,us,3,-1,abs_gap,17,0.9882162564208825,0.911764705882353
42,us,3,0,loss,5,0.9943960797996125,0.9999999999999999
42,us,3,0,offset,5,0.9829774857851934,0.9999999999999999
42,us,3,0,abs_gap,5,0.9817635875576973,0.8999999999999998
42,us,3,1,loss,12,-0.7185155932802623,-0.9720279720279721
42,us,3,1,offset,12,0.9767474701712712,0.9860139860139862
