seed,modality,fold,correct,variable,n,mean,std,min,p05,p25,median,p75,p95,max
42,emg,0,0,logit0,4,0.299973763525486,0.3250253655724195,-0.1589763462543487,-0.0961874291300773,0.1549682393670082,0.3011521100997925,0.4461576342582702,0.6944852709770201,0.7565671801567078
42,emg,0,0,logit1,4,0.3466665875166654,0.9471119704155664,-1.092011332511902,-0.9118210952728989,-0.19106014631688606,0.5623579882085322,1.1000847220420835,1.3031863093376157,1.353961706161499
42,emg,0,0,offset,4,0.3233201755210757,0.42916028789411803,-0.16772207617759716,-0.1462927220389248,-0.060575305484235314,0.3063390161842107,0.6902344971895217,0.816706696152687,0.8483247458934784
42,emg,0,0,gap,4,0.0466928239911793,1.1263263002871033,-1.8485785126686098,-1.531056746467948,-0.26096968166530143,0.5120379440486429,0.8197004497051237,0.9729592263698577,1.0112739205360413
42,emg,0,0,abs_gap,4,0.9709820803254843,0.5726997068425127,0.268233262002468,0.3413746666163205,0.6339402850717304,0.8835582733154296,1.2206000685691833,1.7229828238487244,1.8485785126686098
42,emg,0,0,quality,4,0.11611783131957049,0.03909072871796249,0.0677254274487495,0.0711085513234138,0.08464104682207102,0.11516275629401204,0.1466395407915115,0.162464216351509,0.1664203852415084
42,emg,0,0,loss,4,1.3233491911011694,0.4246917257711176,0.8362306137142681,0.8819224581224978,1.0646898357554166,1.2311794833511214,1.489838838696874,1.8938135149299082,1.9948071839881671
42,emg,0,1,logit0,13,0.15377019755900478,0.3678048036761192,-0.6494606137275696,-0.4227073967456817,-0.0033419101964682,0.1924372315406799,0.2883296608924866,0.6291468679904928,1.0337501764297483
42,emg,0,1,logit1,13,0.5992422291579155,0.782857095880272,-1.2411584854125977,-0.7300447821617126,0.2874758839607239,0.6898053884506226,1.2267354726791382,1.6097115278244014,1.7367366552352903
42,emg,0,1,offset,13,0.37650621335846013,0.42385176441532324,-0.5193814635276794,-0.2843361062929034,0.13272038754075768,0.4269726201891899,0.7723036259412766,0.8961555510759353,0.9255824796855449
42,emg,0,1,gap,13,0.4454720315989107,0.8818673026950898,-2.274908661842346,-0.75386848449707,0.3095109928399324,0.43904986674897367,0.8673241436481476,1.4271119534969325,1.622308351099491
42,emg,0,1,abs_gap,13,0.7954579795746562,0.5859879463185055,0.2601583003997803,0.2767425809055566,0.3608309030532837,0.5256655365228653,0.949556976556778,1.883348475396632,2.274908661842346
42,emg,0,1,quality,13,0.11795238247857644,0.04636738279578686,0.0182202290743589,0.04183765053749078,0.0933234766125679,0.1154269948601722,0.1574162095785141,0.18267801702022549,0.1916924566030502
42,emg,0,1,loss,13,0.4052885929345615,0.1494497811696592,0.0978581111997352,0.1472560169732766,0.3270799791020538,0.4644644372392548,0.5289190650312154,0.5643412948674279,0.5715045712726897
