setting,modality,level,comparison,metric,estimate,ci95_low,ci95_high
positive_margin,us,1.0,corrupted_minus_clean,accuracy,-0.17647058823529427,-0.2823529411764706,-0.0745098039215687
positive_margin,us,1.0,corrupted_minus_clean,sensitivity,-0.13978494623655924,-0.25268817204301064,-0.032258064516129004
positive_margin,us,1.0,corrupted_minus_clean,specificity,-0.2753623188405797,-0.5217391304347826,-0.02898550724637683
positive_margin,us,1.0,corrupted_minus_clean,balanced_accuracy,-0.2075736325385693,-0.34233870967741936,-0.07304815334268355
positive_margin,us,1.0,corrupted_minus_clean,f1,-0.11877736120294125,-0.1954623791142253,-0.04881923757047969
positive_margin,us,1.0,corrupted_minus_clean,brier,0.13308581820967014,0.07794676808661083,0.1901698436985846
positive_margin,us,1.0,corrupted_minus_clean,log_loss,3.8451550813609963,2.105285296291096,5.830940158975854
positive_margin,us,2.0,corrupted_minus_clean,roc_auc,-0.34712482468443195,-0.47124824684431976,-0.22299263674614314
positive_margin,us,2.0,corrupted_minus_clean,accuracy,-0.09411764705882364,-0.16470588235294126,-0.02352941176470591
positive_margin,us,2.0,corrupted_minus_clean,sensitivity,0.06451612903225812,0.016129032258064502,0.12903225806451613
positive_margin,us,2.0,corrupted_minus_clean,specificity,-0.5217391304347826,-0.7391304347826088,-0.30434782608695654
positive_margin,us,2.0,corrupted_minus_clean,balanced_accuracy,-0.22861150070126224,-0.3317759467040671,-0.11991584852734927
positive_margin,us,2.0,corrupted_minus_clean,f1,-0.04195876824012046,-0.08669514317354843,0.0053021208483393645
positive_margin,us,2.0,corrupted_minus_clean,brier,0.11498053313447473,0.0720730273561795,0.15814161723073422
positive_margin,us,2.0,corrupted_minus_clean,log_loss,5.370939198841108,3.399983713632195,7.245365267687054
