setting,seed,fold,modality,n,pearson,spearman,covariance,q_mean,q_std,q_mean_minus_one_third
equal_late,43,4,table,17,0.19602865870242958,-0.6446078431372549,0.0339520308589039,0.22565612350927097,0.10683153883521951,-0.10767720982406234
equal_late,44,0,us,17,0.04695061316166216,-0.627450980392157,0.0016278579704980373,0.11776405257137462,0.03660094262131383,-0.2155692807619587
equal_late,44,0,emg,17,-0.3953705586138551,-0.44117647058823534,-0.0032518354357759546,0.08215959599079889,0.019887263053660932,-0.25117373734253445
equal_late,44,0,table,17,-0.1315312838061204,-0.7205882352941178,-0.02688185427156865,0.24694899795561565,0.10338130043781882,-0.08638433537771767
equal_late,44,1,us,17,0.26865229657366996,-0.38480392156862747,0.027027281798102563,0.19642823727039718,0.05165440324630115,-0.13690509606293613
equal_late,44,1,emg,17,0.3088490712703911,-0.03921568627450981,7.440103542721262e-05,0.06963545801800064,0.0012665198025500256,-0.2636978753153327
equal_late,44,1,table,17,-0.4507712926288914,-0.875,-0.07853143951013396,0.2962843357528535,0.1762244220800566,-0.0370489975804798
equal_late,44,2,us,17,-0.3777746896760659,-0.7549019607843138,-0.010744612933265077,0.15142271302341437,0.023428284031785356,-0.18191062030991895
equal_late,44,2,emg,17,0.6595687068867981,-0.08088235294117649,0.01959104452018414,0.09532570767639648,0.036063832589575344,-0.23800762565693684
equal_late,44,2,table,17,-0.11365509869898671,-0.9019607843137255,-0.026789371559518115,0.38892943210155684,0.13482323986723824,0.05559609876822352
equal_late,44,3,us,17,-0.053349815973436854,-0.32843137254901966,-0.0006932487556396316,0.1034787570956434,0.02061228856775362,-0.2298545762376899
equal_late,44,3,emg,17,0.0933521834147288,-0.06617647058823531,0.0005457343943675433,0.0890480946623613,0.010237648215002115,-0.24428523867097202
equal_late,44,3,table,17,-0.5052820428570131,-0.9730392156862747,-0.04338108188693629,0.25431445392799423,0.13639265977743048,-0.07901887940533908
equal_late,44,4,us,17,-0.2089236040582267,-0.5931372549019609,-0.0022600060544502682,0.11179943904587274,0.01576966250754061,-0.22153389428746056
equal_late,44,4,emg,17,0.23069555705370784,-0.014705882352941176,0.0020573734782958586,0.0766770202225109,0.01623572960711937,-0.25665631311082243
equal_late,44,4,table,17,0.046412001932566685,-0.6740196078431374,0.008767725990424066,0.22399627315209303,0.10859671111450143,-0.10933706018124029
positive_margin,42,0,us,17,0.26864613973087215,-0.4387254901960785,0.010928803902593378,0.17775194922285573,0.04001021495251665,-0.1555813841104776
positive_margin,42,0,emg,17,-0.21105592696334508,-0.31617647058823534,-0.00448646666314188,0.03133764905954122,0.055279812946476756,-0.3019956842737921
positive_margin,42,0,table,17,-0.12458494360142955,-0.8823529411764707,-0.023277509354421258,0.35229332220289816,0.13029671901353765,0.018959988869564848
positive_margin,42,1,us,17,0.1583840702957618,-0.502450980392157,0.0076589213660166935,0.2033637319297876,0.04526452751061396,-0.12996960140354571
positive_margin,42,1,emg,17,-0.6312050014506841,-0.5710784313725491,-0.0056218080280882095,0.15345629358771778,0.03636674498288068,-0.17987703974561553
positive_margin,42,1,table,17,-0.35080029872737245,-0.8848039215686275,-0.04060797662269915,0.3077486811630645,0.12752978203382467,-0.02558465217026884
positive_margin,42,2,us,17,-0.13939273343895336,-0.5514705882352942,-0.010367020900975783,0.21300057427062258,0.05428925980537381,-0.12033275906271074
positive_margin,42,2,emg,17,-0.46239486084120174,-0.5122549019607844,-0.007115413036833601,0.178031682735983,0.033022547731125715,-0.15530165059735032
positive_margin,42,2,table,17,-0.2993653326676825,-0.9387254901960785,-0.06491804102121343,0.5030711967947153,0.13854811599714228,0.16973786346138203
positive_margin,42,3,us,17,-0.336706657340032,-0.5931372549019609,-0.0043725677072795266,0.1356811135611657,0.023221176210739547,-0.19765221977216763
positive_margin,42,3,emg,17,-0.13960263109490267,-0.41666666666666674,-0.002828766353828651,0.14523271676877678,0.041999750642673785,-0.18810061656455654
positive_margin,42,3,table,17,-0.36396947227530274,-0.965686274509804,-0.05905926052791326,0.3956715857762629,0.18711135645666738,0.062338252442929565
positive_margin,42,4,us,17,-0.1472188922930742,-0.556372549019608,-0.004197304587321197,0.1816260944736454,0.02670531440163625,-0.15170723885968793
positive_margin,42,4,emg,17,-0.1207145263316486,-0.38970588235294124,-0.004793847594552327,0.19024595250144494,0.07400456974981406,-0.14308738083188838
positive_margin,42,4,table,17,-0.46558140046707713,-0.9632352941176472,-0.042485688169874705,0.27865614238923786,0.11868198516311806,-0.054677190944095455
positive_margin,43,0,us,17,0.1841923473443609,-0.4852941176470589,0.006239411776668669,0.14671067880672767,0.038714848900816716,-0.18662265452660565
